Datetime,Open,High,Low,Close,Volume
2024-02-20 09:30:00-05:00,497.72,498.41,497.6,498.205,1704310
2024-02-20 09:35:00-05:00,498.2,498.305,497.18,497.275,986687
2024-02-20 09:40:00-05:00,497.29,497.29,496.42,496.714,1441186
2024-02-20 09:45:00-05:00,496.71,496.9,496.5,496.66,1027567
2024-02-20 09:50:00-05:00,496.66,496.77,496.17,496.71,1073893
2024-02-20 09:55:00-05:00,496.71,497.035,496.65,496.6801,658818
2024-02-20 10:00:00-05:00,496.68,496.74,496.17,496.35,748303
2024-02-20 10:05:00-05:00,496.35,496.61,496.32,496.39,790417
2024-02-20 10:10:00-05:00,496.3998,496.51,495.86,495.94,1186098
2024-02-20 10:15:00-05:00,495.93,496.46,495.88,496.19,664391
2024-02-20 10:20:00-05:00,496.17,496.3899,496.02,496.23,881702
2024-02-20 10:25:00-05:00,496.225,496.675,496.04,496.2199,837670
2024-02-20 10:30:00-05:00,496.21,496.26,495.745,495.9099,1541644
2024-02-20 10:35:00-05:00,495.919,496.12,495.88,496.08,463061
2024-02-20 10:40:00-05:00,496.045,496.49,496.03,496.25,597059
2024-02-20 10:45:00-05:00,496.245,496.69,496.23,496.595,627552
2024-02-20 10:50:00-05:00,496.59,496.994,496.56,496.79,706529
2024-02-20 10:55:00-05:00,496.79,497.03,496.69,497.02,460602
2024-02-20 11:00:00-05:00,497.02,497.3,496.93,497.06,705734
2024-02-20 11:05:00-05:00,497.05,497.16,496.7697,496.79,664695
2024-02-20 11:10:00-05:00,496.8088,496.9,496.62,496.72,401845
2024-02-20 11:15:00-05:00,496.73,497.03,496.7,496.765,553864
2024-02-20 11:20:00-05:00,496.76,496.8851,496.56,496.87,405744
2024-02-20 11:25:00-05:00,496.86,496.97,496.7201,496.92,370620
2024-02-20 11:30:00-05:00,496.93,496.98,496.22,496.3,1368346
2024-02-20 11:35:00-05:00,496.31,496.47,496.12,496.34,474792
2024-02-20 11:40:00-05:00,496.35,496.5,496.24,496.46,453053
2024-02-20 11:45:00-05:00,496.47,496.57,496.345,496.35,396822
2024-02-20 11:50:00-05:00,496.355,496.44,496.21,496.2272,484759
2024-02-20 11:55:00-05:00,496.22,496.22,495.67,495.74,651317
2024-02-20 12:00:00-05:00,495.75,495.76,495.135,495.255,731664
2024-02-20 12:05:00-05:00,495.25,495.35,495.13,495.22,718953
2024-02-20 12:10:00-05:00,495.209,495.44,495.06,495.14,574497
2024-02-20 12:15:00-05:00,495.15,495.165,494.77,494.91,946578
2024-02-20 12:20:00-05:00,494.91,495.1399,494.78,494.83,725031
2024-02-20 12:25:00-05:00,494.83,495.11,494.8,495.06,528684
2024-02-20 12:30:00-05:00,495.06,495.48,495,495.44,749441
2024-02-20 12:35:00-05:00,495.455,495.4594,494.45,494.5693,690442
2024-02-20 12:40:00-05:00,494.5684,495.34,494.56,495.295,748861
2024-02-20 12:45:00-05:00,495.29,495.47,495.11,495.135,432019
2024-02-20 12:50:00-05:00,495.135,495.55,494.975,495.46,584100
2024-02-20 12:55:00-05:00,495.47,495.62,495.31,495.4889,364884
2024-02-20 13:00:00-05:00,495.48,495.62,495.21,495.2785,371245
2024-02-20 13:05:00-05:00,495.28,495.5,495.15,495.4299,439334
2024-02-20 13:10:00-05:00,495.39,495.54,495.3,495.41,420935
2024-02-20 13:15:00-05:00,495.41,495.53,494.9,495.5284,569155
2024-02-20 13:20:00-05:00,495.53,495.98,495.47,495.83,521271
2024-02-20 13:25:00-05:00,495.82,495.85,494.995,495.2,550421
2024-02-20 13:30:00-05:00,495.2,495.245,494.75,495.02,787127
2024-02-20 13:35:00-05:00,495.03,495.17,494.82,495.13,450870
2024-02-20 13:40:00-05:00,495.12,495.6499,495.04,495.58,554388
2024-02-20 13:45:00-05:00,495.58,495.735,495.5,495.54,713638
2024-02-20 13:50:00-05:00,495.55,495.855,495.475,495.58,435351
2024-02-20 13:55:00-05:00,495.585,495.9196,495.555,495.8982,397435
2024-02-20 14:00:00-05:00,495.9,495.99,495.45,495.4899,457132
2024-02-20 14:05:00-05:00,495.49,495.795,495.47,495.76,477191
2024-02-20 14:10:00-05:00,495.765,495.825,495.565,495.6501,606525
2024-02-20 14:15:00-05:00,495.655,496.06,495.205,496.02,720261
2024-02-20 14:20:00-05:00,496.02,496.02,495.38,495.5597,568597
2024-02-20 14:25:00-05:00,495.57,496.02,495.4,496.01,435497
2024-02-20 14:30:00-05:00,496.01,496.085,495.69,495.7701,495482
2024-02-20 14:35:00-05:00,495.76,495.97,495.73,495.93,366975
2024-02-20 14:40:00-05:00,495.92,496.3,495.88,496.065,528517
2024-02-20 14:45:00-05:00,496.05,496.67,496.02,496.67,564362
2024-02-20 14:50:00-05:00,496.655,496.8,496.41,496.44,1005337
2024-02-20 14:55:00-05:00,496.45,496.77,496.45,496.715,462823
2024-02-20 15:00:00-05:00,496.72,496.79,496.27,496.4,975779
2024-02-20 15:05:00-05:00,496.4,496.78,496.372,496.75,466082
2024-02-20 15:10:00-05:00,496.75,496.88,496.49,496.5,448060
2024-02-20 15:15:00-05:00,496.51,496.71,496.381,496.395,775197
2024-02-20 15:20:00-05:00,496.4,496.695,496.24,496.41,543335
2024-02-20 15:25:00-05:00,496.42,496.855,496.3993,496.71,855306
2024-02-20 15:30:00-05:00,496.72,496.835,495.225,495.39,1552836
2024-02-20 15:35:00-05:00,495.39,495.885,495.1,495.51,1291942
2024-02-20 15:40:00-05:00,495.51,495.95,495.45,495.84,1135356
2024-02-20 15:45:00-05:00,495.83,496.25,495.77,496,1334986
2024-02-20 15:50:00-05:00,495.99,496.18,495.72,496.09,2045226
2024-02-20 15:55:00-05:00,496.08,496.83,495.79,496.74,8095789
2024-02-21 09:30:00-05:00,495.42,495.59,495.02,495.22,1445153
2024-02-21 09:35:00-05:00,495.22,495.6803,495.15,495.56,840220
