settlement_date,symbol,short_interest,avg_daily_volume,days_to_cover,short_interest_pct
2025-10-15,GMEWS,2043335,2772514,1.0,0.0
2025-10-31,GMEWS,1416475,1131812,1.25,0.0
2025-11-14,GMEWS,1390232,611850,2.27,0.0
2025-11-28,GMEWS,1620403,659459,2.46,0.0
2025-12-15,GMEWS,2535793,1476471,1.72,0.0
2025-12-31,GMEWS,2986836,667524,4.47,0.0
2026-01-15,GMEWS,2983690,573959,5.2,0.0
2026-01-30,GMEWS,2827228,1340252,2.11,0.0
