date,open,high,low,close,volume,ftd_quantity,ftd_value,short_volume,short_volume_total,short_exempt_volume,short_volume_ratio,short_interest,si_days_to_cover,si_avg_daily_vol,dp_total_weekly_vol,dp_ats_volume,dp_ats_pct,institutional_shares,num_institutions,top10_concentration,borrow_rate_est,borrow_utilization,on_threshold_list,daily_return_pct,ftd_20d_avg,ftd_5d_sum,volume_20d_avg,relative_volume,ftd_pct_of_volume,volatility_20d,sma_50,sma_200
2002-02-13,2.40625,2.515000104904175,2.3812499046325684,2.512500047683716,76216000,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76216000,1.0,0.0,0,2.512500047683716,2.512500047683716
2002-02-14,2.543750047683716,2.5487499237060547,2.481250047683716,2.5,11021600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4975,0,0,43618800,0.25,0.0,0,2.5,2.5
2002-02-15,2.5,2.5062499046325684,2.4625000953674316,2.487499952316284,8389600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,31875733,0.26,0.0,0,2.487499952316284,2.487499952316284
2002-02-19,2.4749999046325684,2.4749999046325684,2.34375,2.387500047683716,7410400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0201,0,0,25759400,0.29,0.0,0,2.387500047683716,2.387500047683716
2002-02-20,2.4000000953674316,2.46875,2.3812499046325684,2.46875,6892800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4031,0,0,21986080,0.31,0.0,0,2.46875,2.46875
2002-02-21,2.4600000381469727,2.481250047683716,2.4375,2.4625000953674316,6976800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2532,0,0,19484533,0.36,0.0,0,2.4625000953674316,2.4625000953674316
2002-02-22,2.481250047683716,2.481250047683716,2.4000000953674316,2.418750047683716,3525600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7767,0,0,17204686,0.2,0.0,0,2.418750047683716,2.418750047683716
2002-02-25,2.4124999046325684,2.456249952316284,2.384999990463257,2.4375,3453600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7752,0,0,15485800,0.22,0.0,0,2.4375,2.4375
2002-02-26,2.424999952316284,2.4625000953674316,2.3862500190734863,2.4375,2761600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,14072000,0.2,0.0,0,2.4375,2.4375
2002-02-27,2.418750047683716,2.4200000762939453,2.375,2.393749952316284,4091200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.7949,0,0,13073920,0.31,0.0,0,2.393749952316284,2.393749952316284
2002-02-28,2.4000000953674316,2.4312500953674316,2.387500047683716,2.387500047683716,2751200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2611,0,0,12135491,0.23,0.0,0,2.387500047683716,2.387500047683716
2002-03-01,2.3812499046325684,2.4437499046325684,2.372499942779541,2.421250104904175,1913600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4136,0,0,11283667,0.17,0.0,0,2.421250104904175,2.421250104904175
2002-03-04,2.4312500953674316,2.476249933242798,2.427500009536743,2.4625000953674316,3180800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7037,0,0,10660369,0.3,0.0,0,2.4625000953674316,2.4625000953674316
2002-03-05,2.450000047683716,2.456249952316284,2.3949999809265137,2.40625,3444800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2843,0,0,10144971,0.34,0.0,0,2.40625,2.40625
2002-03-06,2.4049999713897705,2.4287500381469727,2.4000000953674316,2.418750047683716,1316800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5195,0,0,9556427,0.14,0.0,0,2.418750047683716,2.418750047683716
2002-03-07,2.418750047683716,2.575000047683716,2.418750047683716,2.552500009536743,2700800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5297,0,0,9127950,0.3,0.0,0,2.552500009536743,2.552500009536743
2002-03-08,2.5374999046325684,2.625,2.5374999046325684,2.612499952316284,1600800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3506,0,0,8685176,0.18,0.0,0,2.612499952316284,2.612499952316284
2002-03-11,2.5999999046325684,2.674999952316284,2.59375,2.646250009536743,5462400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2919,0,0,8506133,0.64,0.0,0,2.646250009536743,2.646250009536743
2002-03-12,2.625,2.737499952316284,2.625,2.6500000953674316,5819200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1417,0,0,8364716,0.7,0.0,0,2.6500000953674316,2.6500000953674316
2002-03-13,2.6500000953674316,2.6875,2.581249952316284,2.627500057220459,5063200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8491,0,0,8199640,0.62,0.0,2.0378,2.627500057220459,2.627500057220459
2002-03-14,2.627500057220459,2.6500000953674316,2.6050000190734863,2.625,1696800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0951,0,0,4473680,0.38,0.0,2.0385,2.625,2.625
2002-03-15,2.625,2.637500047683716,2.487499952316284,2.543750047683716,1708000,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.0952,0,0,4008000,0.43,0.0,2.1605,2.543750047683716,2.543750047683716
2002-03-18,2.549999952316284,2.549999952316284,2.3812499046325684,2.4124999046325684,2207200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1597,0,0,3698880,0.6,0.0,2.4461,2.4124999046325684,2.4124999046325684
2002-03-19,2.4312500953674316,2.4375,2.325000047683716,2.3375000953674316,3229600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1088,0,0,3489840,0.93,0.0,2.3807,2.3375000953674316,2.3375000953674316
2002-03-20,2.3187499046325684,2.3187499046325684,2.125,2.252500057220459,9236000,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.6364,0,0,3607000,2.56,0.0,2.3603,2.252500057220459,2.252500057220459
2002-03-21,2.252500057220459,2.40625,2.252500057220459,2.34375,4427200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0511,0,0,3479520,1.27,0.0,2.5548,2.34375,2.34375
2002-03-22,2.34375,2.4487500190734863,2.3137500286102295,2.4124999046325684,2494400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9333,0,0,3427960,0.73,0.0,2.6163,2.4124999046325684,2.4124999046325684
2002-03-25,2.4375,2.476249933242798,2.3975000381469727,2.4649999141693115,7571200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1762,0,0,3633840,2.08,0.0,2.654,2.4649999141693115,2.4649999141693115
2002-03-26,2.5,2.512500047683716,2.4725000858306885,2.497499942779541,1816800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3185,0,0,3586600,0.51,0.0,2.6673,2.497499942779541,2.497499942779541
2002-03-27,2.497499942779541,2.625,2.487499952316284,2.575000047683716,1369600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1031,0,0,3450520,0.4,0.0,2.7014,2.575000047683716,2.575000047683716
2002-03-28,2.5625,2.575000047683716,2.512500047683716,2.5250000953674316,1714400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.9417,0,0,3398680,0.5,0.0,2.7465,2.5250000953674316,2.5250000953674316
2002-04-01,2.5062499046325684,2.5062499046325684,2.375,2.3812499046325684,1880000,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.6931,0,0,3397000,0.55,0.0,3.0272,2.3812499046325684,2.3812499046325684
2002-04-02,2.375,2.375,2.293750047683716,2.3299999237060547,2098400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.1522,0,0,3342880,0.63,0.0,3.0329,2.3299999237060547,2.3299999237060547
2002-04-03,2.331249952316284,2.3499999046325684,2.305000066757202,2.325000047683716,567200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2146,0,0,3199000,0.18,0.0,2.9962,2.325000047683716,2.325000047683716
2002-04-04,2.3187499046325684,2.3812499046325684,2.3187499046325684,2.3687500953674316,763200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8817,0,0,3171320,0.24,0.0,3.0254,2.3687500953674316,2.3687500953674316
2002-04-05,2.3687500953674316,2.424999952316284,2.3112499713897705,2.3112499713897705,837600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4274,0,0,3078160,0.27,0.0,2.7774,2.3112499713897705,2.3112499713897705
2002-04-08,2.325000047683716,2.325000047683716,2.221250057220459,2.2874999046325684,1558400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0276,0,0,3076040,0.51,0.0,2.7033,2.2874999046325684,2.2874999046325684
2002-04-09,2.2750000953674316,2.4000000953674316,2.2750000953674316,2.3687500953674316,3562400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5519,0,0,2981040,1.2,0.0,2.8256,2.3687500953674316,2.3687500953674316
2002-04-10,2.362499952316284,2.3812499046325684,2.34375,2.365000009536743,1302400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1583,0,0,2755200,0.47,0.0,2.8229,2.365000009536743,2.365000009536743
2002-04-11,2.3637499809265137,2.3637499809265137,2.3125,2.3125,1444000,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2199,0,0,2574240,0.56,0.0,2.8464,2.3125,2.3125
2002-04-12,2.331249952316284,2.331249952316284,2.257499933242798,2.28125,1236000,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.3514,0,0,2551200,0.48,0.0,2.8485,2.28125,2.28125
2002-04-15,2.2750000953674316,2.3212499618530273,2.273750066757202,2.319999933242798,1559200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6986,0,0,2543760,0.61,0.0,2.8351,2.319999933242798,2.319999933242798
2002-04-16,2.34375,2.4000000953674316,2.34375,2.375,1225600,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3707,0,0,2494680,0.49,0.0,2.676,2.375,2.375
2002-04-17,2.40625,2.53125,2.40625,2.476249933242798,3348800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2632,0,0,2500640,1.34,0.0,2.7353,2.476249933242798,2.476249933242798
2002-04-18,2.476249933242798,2.518749952316284,2.4674999713897705,2.476249933242798,984800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,2088080,0.47,0.0,2.5824,2.476249933242798,2.476249933242798
2002-04-19,2.476249933242798,2.543750047683716,2.476249933242798,2.533750057220459,646400,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3221,0,0,1899040,0.34,0.0,2.4897,2.533750057220459,2.533750057220459
2002-04-22,2.518749952316284,2.518749952316284,2.476249933242798,2.5,772800,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.332,0,0,1812960,0.43,0.0,2.4477,2.5,2.5
