filing_date,owner_name,owner_cik,form_type,shares_beneficially_owned,percent_of_class,sole_voting_power,shared_voting_power,sole_dispositive_power,shared_dispositive_power,filing_url
2017-02-13,VANGUARD GROUP INC,102909,SC 13D/G,8183568,8.03,61265,12123,160,67507,https://www.sec.gov/Archives/edgar/data/102909/000093247117002525/gamestopcorp.htm
2017-02-14,FMR LLC,315066,SC 13D/G,15281106,14.999,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506617001695/filing.txt
2018-01-25,BlackRock Inc.  (BLK),1364742,SC 13D/G,8860599,8.7,8315646,0,8860599,0,https://www.sec.gov/Archives/edgar/data/1364742/000021545718002908/us36467w1099_012418.txt
2018-02-06,IRIDIAN ASSET MANAGEMENT LLC/CT,1033427,SC 13G,160,12.5,160,160,160,160,https://www.sec.gov/Archives/edgar/data/1033427/000103342718000023/gamestop13ga112312017.htm
2018-02-12,VANGUARD GROUP INC,102909,SC 13D/G,8724163,8.61,53368,12123,160,57717,https://www.sec.gov/Archives/edgar/data/102909/000093247118004904/gamestopcorp.htm
2018-02-13,FMR LLC,315066,SC 13D/G,15195570,14.999,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506618001270/filing.txt
2018-07-10,BlackRock Inc.  (BLK),1364742,SC 13D/G,14249376,14.0,13749934,0,14249376,0,https://www.sec.gov/Archives/edgar/data/1364742/000021545718005796/us36467w1099_070518.txt
2018-12-10,VANGUARD GROUP INC,102909,SC 13D/G,10211927,10.01,89161,12123,160,100604,https://www.sec.gov/Archives/edgar/data/102909/000093247118007713/gamestopcorp.htm
2019-01-28,BlackRock Inc.  (BLK),1364742,SC 13D/G,15143071,14.9,14799316,0,15143071,0,https://www.sec.gov/Archives/edgar/data/1364742/000021545719001560/us36467w1099_012819.txt
2019-02-08,DIMENSIONAL FUND ADVISORS LP,354204,SC 13D/G,7200453,7.06,7105983,0,7200453,0,https://www.sec.gov/Archives/edgar/data/354204/000125889719001551/dfs722.htm
2019-02-11,VANGUARD GROUP INC,102909,SC 13D/G,10363882,10.16,100167,12123,160,100604,https://www.sec.gov/Archives/edgar/data/102909/000093247119004669/gamestopcorp.htm
2019-02-13,FMR LLC,315066,SC 13D/G,15201883,14.908,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506619001099/filing.txt
2019-12-13,HESTIA CAPITAL PARTNERS LP,1456565,SC 13D,924100,1.4,0,924100,0,924100,https://www.sec.gov/Archives/edgar/data/1456565/000092189519002992/sc13da112166002_12132019.htm
2020-01-09,DIMENSIONAL FUND ADVISORS LP,354204,SC 13D/G,7127360,10.81,7003666,0,7127360,0,https://www.sec.gov/Archives/edgar/data/354204/000035420420000005/GameStop2020.txt
2020-02-04,BlackRock Inc.  (BLK),1364742,SC 13D/G,11271702,17.1,10888316,0,11271702,0,https://www.sec.gov/Archives/edgar/data/1364742/000083423720002055/us36467w1099_020320.txt
2020-02-07,FMR LLC,315066,SC 13D/G,11620064,17.626,0,0,0,0,https://www.sec.gov/Archives/edgar/data/315066/000031506620000967/filing.txt
