week_ending,symbol,total_weekly_volume,ats_volume,otc_volume,ats_pct
2023-08-21,GME,12813380,3553698,9259682,0.27734274641039286
2023-08-28,GME,10769194,2237206,8531988,0.20774126643089538
2023-09-04,GME,15911934,3940304,11971630,0.2476319974680639
2023-09-11,GME,14988122,4024496,10963626,0.26851235932026707
2023-09-18,GME,8731370,3438850,5292520,0.39384999146754746
2023-09-25,GME,6975514,1511277,5464237,0.21665457197849505
2023-10-02,GME,14338086,3170346,11167740,0.22111361307220503
2023-10-09,GME,9155424,2520902,6634522,0.2753451942804615
2023-10-16,GME,15755238,4727944,11027294,0.300087120232649
2023-10-23,GME,9301928,2859872,6442056,0.3074493803865177
2023-10-30,GME,13162510,3793772,9368738,0.2882255739976646
2023-11-06,GME,9684464,2556718,7127746,0.2640020139472871
2023-11-13,GME,7512545,2290709,5221836,0.3049178407583582
2023-11-20,GME,3513092,1126078,2387014,0.3205375777235552
2023-11-27,GME,58240028,5826043,52413985,0.10003503088975163
2023-12-04,GME,37878900,5556550,32322350,0.14669248579024205
2023-12-11,GME,15187878,2330221,12857657,0.15342637068851883
2023-12-18,GME,11477959,1898715,9579244,0.16542270276448975
2023-12-25,GME,7296985,1204427,6092558,0.16505817128581188
2024-01-01,GME,5518770,1313371,4205399,0.23798255770760512
2024-01-08,GME,5830686,1346204,4484482,0.23088260969635477
2024-01-15,GME,4921625,1183274,3738351,0.24042343738094635
2024-01-22,GME,6423788,1969304,4454484,0.3065642888588478
2024-01-29,GME,4410064,1246148,3163916,0.28256914185372367
2024-02-05,GME,6042391,1263459,4778932,0.2090991794473413
2024-02-12,GME,4868337,996725,3871612,0.20473623744617514
2024-02-19,GME,3851963,683607,3168356,0.17746977320394822
2024-02-26,GME,6174031,1309478,4864553,0.21209449709598155
2024-03-04,GME,6443002,1275256,5167746,0.19792885366169372
2024-03-11,GME,4846146,1150703,3695443,0.23744703523170785
2024-03-18,GME,6843591,1792402,5051189,0.2619095734973057
2024-03-25,GME,24789888,5257364,19532524,0.21207695653969877
2024-04-01,GME,11757186,2946993,8810193,0.2506546209271504
2024-04-08,GME,6643168,1469902,5173266,0.2212652156320599
2024-04-15,GME,6744141,1594975,5149166,0.23649787274613623
2024-04-22,GME,9692525,2136848,7555677,0.2204635015127637
2024-04-29,GME,24893302,5054796,19838506,0.2030584773365944
2024-05-06,GME,86380492,11937276,74443216,0.13819411910735585
2024-05-13,GME,307512261,44330291,263181970,0.1441577999389104
2024-05-20,GME,119128895,33156803,85972092,0.27832712626101336
2024-05-27,GME,100744721,10351606,90393115,0.10275085282136023
2024-06-03,GME,358989223,63785796,295203427,0.17768164589163726
2024-06-10,GME,317445505,61272678,256172827,0.19301794177239964
2024-06-17,GME,98583350,10641956,87941394,0.10794881691482386
2024-06-24,GME,67363448,6124399,61239049,0.09091575894393054
2024-07-01,GME,36695385,3840759,32854626,0.10466599546509732
2024-07-08,GME,39919073,3174592,36744481,0.07952569439676117
2024-07-15,GME,52266763,5766148,46500615,0.11032150584875516
2024-07-22,GME,24717433,2861819,21855614,0.11578140011545697
2024-07-29,GME,22114536,2611471,19503065,0.11808843739701344
2024-08-05,GME,16769820,2097227,14672593,0.1250596011167681
2024-08-12,GME,9689248,1111429,8577819,0.11470745717314698
2024-08-19,GME,8805965,1176333,7629632,0.13358365607857856
2024-08-26,GME,19684024,2242412,17441612,0.11392040570566263
2024-09-02,GME,25266646,2750093,22516553,0.10884281989782102
2024-09-09,GME,38935276,10509874,28425402,0.26993192497209983
2024-09-16,GME,40647837,5810587,34837250,0.14294947600778857
2024-09-23,GME,22274165,2397323,19876842,0.1076279627092643
2024-09-30,GME,17302606,1480610,15821996,0.0855715029285184
2024-10-07,GME,11930104,977911,10952193,0.08197003144314584
2024-10-14,GME,13747459,1470436,12277023,0.10696056631265458
2024-10-21,GME,10486341,823643,9662698,0.07854436547504988
2024-10-28,GME,24481579,2230438,22251141,0.09110678686207291
2024-11-04,GME,20412049,2034066,18377983,0.0996502604907523
2024-11-11,GME,52918728,4401986,48516742,0.08318389663485487
2024-11-18,GME,32448192,3224565,29223627,0.09937579881184135
2024-11-25,GME,32542028,3990324,28551704,0.12262063077322655
2024-12-02,GME,43332989,5824343,37508646,0.13440898341907595
2024-12-09,GME,34219881,4305503,29914378,0.12581876015290644
2024-12-16,GME,36013812,4530009,31483803,0.12578532369747475
2024-12-23,GME,23773532,2384627,21388905,0.10030596210945854
2024-12-30,GME,16984633,1897560,15087073,0.11172216673742671
2025-01-06,GME,19894104,3518471,16375633,0.17685998826587013
2025-01-13,GME,19469619,2647267,16822352,0.13596912194326966
